popular_ranking,artist_name,decade,genre
231,pink floyd,60's,rock
232,prince and the revolution,80's,rock
233,eminem,00's,hip-hop
234,the white stripes,00's,rock
235,boards of canada,00's,electronic
236,can,70's,rock
237,new order,80's,rock
238,travis scott,10's,hip-hop
239,modest mouse,00's,rock
240,yes,70's,rock
241,nick drake,60's,folk
242,pavement,90's,rock
243,death grips,10's,hip-hop
244,sonic youth,90's,rock
245,swans,10's,rock
246,bob dylan,60's,rock
247,run the jewels,10's,hip-hop
248,black midi,10's,rock
249,burzum,90's,metal
250,portishead,00's,rock
251,sophie,10's,electronic
252,bob dylan,60's,folk
253,outkast,90's,hip-hop
254,joanna newsom,00's,folk
255,the rolling stones,70's,rock
256,can,70's,rock
257,neil young,70's,rock
258,guns n' roses,80's,rock
259,deftones,00's,metal
260,the strokes,00's,rock
261,wire,70's,rock
262,a tribe called quest,90's,jazz
263,the beatles,60's,rock
265,the doors,60's,rock
266,spiritualized®,90's,rock
267,cocteau twins,80's,pop
268,mgmt,00's,rock
269,the velvet underground,70's,rock
270,the mars volta,00's,rock
271,green day,00's,rock
272,coldplay,00's,rock
273,captain beefheart & his magic band,60's,rock
274,at the drive-in,00's,rock
275,sex pistols,70's,rock
276,sigur rós,00's,rock
277,king crimson,70's,rock
278,r.e.m.,90's,rock
279,my bloody valentine,10's,rock
280,kraftwerk,70's,electronic
281,queen,70's,rock
282,animal collective,00's,rock
283,red hot chili peppers,90's,rock
284,the rolling stones,60's,rock
285,"tyler, the creator",10's,hip-hop
286,the weeknd,10's,soul_funk
287,ac/dc,80's,rock
288,iron maiden,80's,metal
289,the zombies,60's,pop
290,black sabbath,70's,rock
291,lana del rey,10's,pop
292,black sabbath,70's,rock
293,green day,90's,rock
294,lcd soundsystem,10's,rock
295,lorde,10's,pop
296,coldplay,00's,rock
297,joni mitchell,70's,folk
298,dinosaur,80's,rock
299,danny brown,10's,hip-hop
300,the jimi hendrix experience,60's,rock
301,the jesus and mary chain,80's,rock
302,daft punk,90's,electronic
303,iggy and the stooges,70's,rock
304,earl sweatshirt,10's,hip-hop
305,the notorious b.i.g.,90's,hip-hop
306,billie eilish,10's,pop
307,nick drake,70's,folk
308,air,90's,pop
309,red hot chili peppers,90's,rock
310,dead kennedys,80's,rock
311,the smiths,80's,pop
312,genesis,70's,rock
313,arctic monkeys,00's,rock
314,opeth,00's,metal
315,arctic monkeys,10's,rock
316,brian eno,70's,electronic
317,rush,80's,rock
318,animal collective,00's,rock
319,tool,00's,rock
320,the strokes,10's,rock
321,grimes,10's,electronic
322,muse,00's,rock
323,car seat headrest,10's,rock
324,sonic youth,80's,rock
325,travis scott,10's,pop
326,gang of four,70's,rock
327,beck,90's,rock
328,grimes,10's,electronic
329,the rolling stones,70's,rock
330,aphex twin,90's,electronic
331,king crimson,80's,rock
332,brand new,00's,rock
333,beastie boys,80's,hip-hop
334,the doors,70's,rock
335,swans,80's,rock
336,"black country, new road",10's,rock
337,the beatles,60's,rock
338,freddie gibbs & madlib,10's,hip-hop
339,r.e.m.,80's,rock
340,u2,80's,rock
341,talking heads,70's,rock
342,fka twigs,10's,pop
343,phoebe bridgers,10's,folk
344,the smiths,80's,pop
345,death,90's,metal
346,linkin park,00's,rock
347,talking heads,80's,soul_funk
348,godspeed you! black emperor,00's,rock
349,carly rae jepsen,10's,pop
350,outkast,00's,hip-hop
351,beach house,10's,pop
352,van morrison,60's,folk
353,mount eerie,10's,folk
354,mf doom,90's,hip-hop
355,john coltrane,60's,jazz
356,electric wizard,00's,metal
357,converge,00's,metal
358,fleet foxes,10's,folk
359,nine inch nails,80's,rock
360,soundgarden,90's,rock
361,run the jewels,10's,hip-hop
362,playboi carti,10's,hip-hop
363,little simz,10's,hip-hop
364,sufjan stevens,10's,pop
365,funkadelic,70's,rock
366,kero kero bonito,10's,pop
367,panda bear,00's,rock
368,patti smith,70's,rock
369,"tyler, the creator",10's,hip-hop
370,my chemical romance,00's,rock
371,muse,00's,rock
