popular_albuns_rank,artist_band,decade,musical_genre,total_awards_nominations,uk number 1's,million_sales
794,curtis mayfield,70's,soul_funk,8,0,0
796,eric dolphy,60's,jazz,0,0,0
797,father john misty,10's,folk,0,0,0
801,jeff rosenstock,10's,rock,0,0,0
802,xtc,80's,rock,0,0,0
803,battles,00's,rock,0,0,0
805,beyoncé,10's,pop,0,0,200
811,nico,70's,folk,0,0,0
812,raekwon,90's,hip-hop,0,0,0
817,the pink floyd,60's,rock,0,0,0
818,andrew jackson jihad,00's,rock,0,0,0
821,paul simon,80's,rock,0,0,0
822,weatherday,10's,rock,0,0,0
829,ariana grande,10's,pop,0,0,85
830,venetian snares,00's,electronic,0,0,0
831,alt-j,10's,pop,0,0,0
832,kali uchis,10's,soul_funk,0,0,0
834,ミドリ [midori],00's,rock,0,0,0
837,the modern lovers,70's,rock,0,0,0
840,mazzy star,90's,rock,0,0,0
843,thom yorke,00's,pop,0,0,0
845,bark psychosis,90's,rock,0,0,0
847,st. vincent,10's,rock,0,0,0
848,d'angelo,00's,soul_funk,0,0,0
850,tortoise,90's,rock,0,0,0
854,gojira,00's,metal,0,0,0
857,syd barrett,70's,rock,0,0,0
861,blink-182,90's,rock,0,0,0
862,xxxtentacion,10's,rock,0,0,0
867,olivia rodrigo,10's,pop,0,0,0
868,alice coltrane featuring pharoah sanders,70's,jazz,0,0,0
870,pil,70's,rock,0,0,0
873,dio,80's,metal,0,0,0
875,the caretaker,10's,electronic,0,0,0
876,soft machine,70's,rock,0,0,0
878,king geedorah,00's,hip-hop,0,0,0
881,mort garson,70's,pop,0,0,0
882,genesis owusu,10's,soul_funk,0,0,0
885,the brave little abacus,10's,rock,0,0,0
887,sly & the family stone,70's,soul_funk,0,0,0
888,melvins,90's,metal,0,0,0
889,paul & linda mccartneypaul mccartneylinda mccartney,70's,rock,0,0,0
891,siouxsie and the banshees,80's,rock,0,0,0
893,scott engel,60's,pop,0,0,0
897,common,00's,hip-hop,0,0,0
901,serge gainsbourg,70's,pop,0,0,0
903,rainbow,70's,rock,0,0,0
904,mike oldfield,70's,rock,0,0,0
907,korn,90's,metal,0,0,0
912,the war on drugs,10's,rock,0,0,0
914,thundercat,10's,soul_funk,0,0,0
916,j. cole,10's,hip-hop,0,0,0
919,morbid angel,80's,metal,0,0,0
920,william basinski,00's,electronic,0,0,0
921,cannibal ox,00's,hip-hop,0,0,0
923,roxy music,70's,rock,0,0,0
925,the chameleons,80's,rock,0,0,0
928,the cars,70's,rock,0,0,0
932,de la soul,80's,hip-hop,0,0,0
947,bonnie 'prince' billy,90's,folk,0,0,0
949,cure,90's,rock,0,0,0
952,moby,90's,electronic,0,0,0
955,drive like jehu,90's,rock,0,0,0
957,sonic-youth,80's,rock,0,0,0
959,dire straits,80's,rock,0,0,100
960,exuma,70's,folk,0,0,0
964,echo & the bunnymen,80's,rock,0,0,0
965,amon düül ii,70's,rock,0,0,0
969,the shins,00's,pop,0,0,0
974,phoenix,00's,pop,0,0,0
978,destroyer,10's,pop,0,0,0
980,bladee,10's,rock,0,0,0
985,magnolia electric co.,00's,rock,0,0,0
991,belle & sebastian,90's,pop,0,0,0
996,the verve,90's,rock,0,0,0
1003,tangerine dream,70's,electronic,0,0,0
1007,black star,90's,hip-hop,0,0,0
1008,descendents,80's,rock,0,0,0
1010,"crosby, stills, nash & young",70's,rock,0,0,0
1014,peter gabriel,80's,rock,0,0,0
1015,lil uzi vert,10's,pop,0,0,0
1016,macintosh plus,10's,electronic,0,0,0
1019,stars of the lid,00's,electronic,0,0,0
1020,doom,00's,hip-hop,0,0,0
1021,dissection,90's,metal,0,0,0
1023,bathory,80's,metal,0,0,0
1028,jai paul,10's,soul_funk,0,0,0
1031,future,10's,hip-hop,0,0,0
1032,gas,00's,electronic,0,0,0
1033,poppy,10's,metal,0,0,0
1034,the jesus lizard,90's,rock,0,0,0
1036,the band,60's,rock,0,0,0
1038,four tet,00's,folk,0,0,0
1039,quasimoto,00's,jazz,0,0,0
1041,2pac,90's,hip-hop,6,1,0
1042,rammstein,00's,metal,0,0,0
1043,big star,70's,pop,0,0,0
1044,paul mccartney & wings,70's,rock,0,0,0
1045,wipers,80's,rock,0,0,0
1047,simon & garfunkel,60's,rock,11,1,100
1049,arca,10's,pop,0,0,0
1050,death from above 1979,00's,rock,0,0,0
1054,art blakey and the jazz messengers,50's,jazz,0,0,0
1057,cryptopsy,90's,metal,0,0,0
1061,the 13th floor elevators,60's,rock,0,0,0
1062,yeah yeah yeahs,00's,rock,0,0,0
1064,lady gaga,00's,pop,0,0,124
1067,the black keys,10's,rock,0,0,0
1069,neurosis,90's,metal,0,0,0
1070,m83,10's,pop,0,0,0
1071,the fall,80's,rock,0,0,0
1074,tim buckley,70's,rock,0,0,0
1077,throbbing gristle,70's,electronic,0,0,0
1079,manic street preachers,90's,rock,0,0,0
1082,grateful dead,70's,rock,0,0,0
1083,フィッシュマンズ,90's,pop,0,0,0
1088,machine girl,10's,electronic,0,0,0
1090,椎名林檎 [sheena ringo],00's,rock,0,0,0
1093,atheist,90's,metal,0,0,0
1095,shabazz palaces,10's,hip-hop,0,0,0
1096,candlemass,80's,metal,0,0,0
1098,bob marley & the wailersbob marleythe wailers,70's,reggae,0,0,0
1099,the pop group,70's,rock,0,0,0
1102,sparks,70's,rock,0,0,0
1103,carissa's wierd,00's,rock,0,0,0
1104,elton john,70's,rock,34,7,300
1105,brian eno-david byrnebrian enodavid byrne,80's,rock,0,0,0
1109,the moody blues with the london festival orchestra,60's,rock,0,0,0
1110,angel olsen,10's,pop,0,0,0
1111,os mutantes,60's,rock,0,0,0
1113,earth,90's,metal,0,0,0
1114,santana,70's,rock,14,0,100
1115,porter robinson,10's,electronic,0,0,0
1117,viet cong,10's,rock,0,0,0
1122,a perfect circle,00's,rock,0,0,0
1124,the kniφe,10's,electronic,0,0,0
1127,eric b. & rakim,80's,hip-hop,0,0,0
1130,townes van zandt,60's,folk,0,0,0
1131,brian eno with daniel lanois & roger eno,80's,electronic,0,0,0
1133,the feelies,80's,rock,0,0,0
1134,audioslave,00's,rock,0,0,0
1135,clipse,00's,hip-hop,0,0,0
1137,boston,70's,rock,0,0,0
1140,courtney barnett,10's,rock,0,0,0
1143,big l,90's,hip-hop,0,0,0
1147,otis redding,60's,soul_funk,5,0,0
1150,supertramp,70's,rock,0,0,0
1151,the mahavishnu orchestra with john mclaughlinmahavishnu orchestrajohn mclaughlin,70's,rock,0,0,0
1152,gorguts,90's,metal,0,0,0
1153,dangerdoom,00's,hip-hop,0,0,0
1157,fever ray,00's,pop,0,0,0
1158,dinosaur jr,80's,rock,0,0,0
1159,the comet is coming,10's,jazz,0,0,0
1160,three-6 mafia,90's,hip-hop,0,0,0
1162,kamasi washington,10's,jazz,0,0,0
1168,anthrax,80's,metal,0,0,0
1170,the police,80's,rock,8,5,75
1171,ozzy osbourne,80's,rock,0,0,0
1173,ghostface killah,00's,hip-hop,0,0,0
1174,caroline polachek,10's,pop,0,0,0
1175,shellac,90's,rock,0,0,0
1176,julee cruise,80's,pop,0,0,0
1181,noname,10's,jazz,0,0,0
1186,lightning bolt,00's,rock,0,0,0
1187,r.a.p. ferreira,10's,jazz,0,0,0
1194,"21 savage, offset & metro boomin",10's,hip-hop,0,0,0
1196,john cale,70's,pop,0,0,0
1198,tv on the radio,00's,rock,0,0,0
1199,iglooghost,10's,electronic,0,0,0
1205,the pharcyde,90's,jazz,0,0,0
1206,cloud nothings,10's,rock,0,0,0
1210,ariel pink's haunted graffiti,10's,pop,0,0,0
1213,slowthai,10's,hip-hop,0,0,0
1214,sepultura,80's,metal,0,0,0
1215,paramore,10's,rock,0,0,0
1216,solange,10's,soul_funk,0,0,0
1217,big k.r.i.t.,10's,hip-hop,0,0,0
1220,yung lean,10's,hip-hop,0,0,0
1223,between the buried and me,00's,metal,0,0,0
1226,billy woods & kenny segal,10's,hip-hop,0,0,0
1227,caravan,70's,rock,0,0,0
1231,godflesh,80's,metal,0,0,0
1235,broadcast,00's,pop,0,0,0
1237,sleater-kinney,00's,rock,0,0,0
1238,purple mountains,10's,rock,0,0,0
1244,cynic,90's,metal,0,0,0
1258,george clanton,10's,pop,0,0,0
1259,parliament,70's,soul_funk,0,0,0
1262,van der graaf generator,70's,rock,0,0,0
1263,everything everything,10's,rock,0,0,0
1266,carole king,70's,rock,0,0,0
1268,春ねむり [haru nemuri],10's,rock,0,0,0
1269,perfume genius,10's,pop,0,0,0
1273,the voidz,10's,rock,0,0,0
1275,killer mike,10's,hip-hop,0,0,0
1279,nicolás jaar,10's,pop,0,0,0
1280,lou reed & metallica,10's,metal,0,0,0
1283,adele,10's,pop,0,0,120
1286,nails,10's,metal,0,0,0
1290,primus,90's,metal,0,0,0
1294,carcass,90's,metal,0,0,0
1295,dean blunt,10's,pop,0,0,0
1298,deathspell omega,10's,metal,0,0,0
1301,charlie mingus,60's,jazz,0,0,0
1302,sufjan stevens & angelo de augustine,10's,folk,0,0,0
1311,fugees,90's,hip-hop,0,0,0
1314,chvrches,10's,electronic,0,0,0
1316,joey bada$$,10's,hip-hop,0,0,0
1317,placebo,90's,rock,0,0,0
1318,the gun club,80's,rock,0,0,0
1321,tropical fuck storm,10's,rock,0,0,0
1325,福居良 [ryo fukui],70's,jazz,0,0,0
1331,queensrÿche,80's,metal,0,0,0
1332,clouddead,00's,hip-hop,0,0,0
1333,silver apples,60's,rock,0,0,0
1334,eagles,70's,rock,0,0,200
1337,nick cave featuring the bad seeds,80's,rock,0,0,0
1338,sun ra,70's,jazz,0,0,0
1340,armand hammer & the alchemist,10's,hip-hop,0,0,0
1341,orchid,90's,rock,0,0,0
1342,john zorn,90's,rock,0,0,0
1343,vince guaraldi,60's,jazz,0,0,0
1344,mercury rev,90's,rock,0,0,0
1347,twenty øne piløts,10's,pop,0,0,0
1348,joji,10's,soul_funk,0,0,0
1349,women,10's,rock,0,0,0
1351,snail mail,10's,rock,0,0,0
1352,misfits,80's,rock,0,0,0
1353,derek and the dominos,70's,rock,0,0,0
1358,clarence clarity,10's,pop,0,0,0
1361,aesop rock,10's,hip-hop,0,0,0
1362,nomeansno,80's,rock,0,0,0
1363,scott walker,60's,pop,0,0,0
1364,killing joke,80's,rock,0,0,0
1366,turnstile,10's,rock,0,0,0
1369,hole,90's,rock,0,0,0
1370,sunn o))),00's,metal,0,0,0
1376,offspring,90's,rock,0,0,0
1377,meat puppets,80's,rock,0,0,0
1380,acid bath,90's,metal,0,0,0
1383,21 savage & metro boomin,10's,hip-hop,0,0,0
1385,madonna,90's,pop,28,13,300
1391,migos,10's,hip-hop,0,0,0
1392,behemoth,10's,metal,0,0,0
1393,the red hot chili peppers,90's,rock,0,0,0
1394,the united states of america,60's,rock,0,0,0
1396,...and you will know us by the trail of dead,00's,rock,0,0,0
1404,the unicorns,00's,pop,0,0,0
1405,saba,10's,jazz,0,0,0
1408,melt-banana,10's,rock,0,0,0
1411,oranssi pazuzu,10's,rock,0,0,0
1412,gentle giant,70's,rock,0,0,0
1413,cat power,90's,rock,0,0,0
1414,the streets,00's,hip-hop,0,0,0
1417,vashti bunyan,70's,folk,0,0,0
1419,(sandy) alex g,10's,rock,0,0,0
1421,the chemical brothers,90's,electronic,0,0,0
1424,florence + the machine,00's,pop,0,0,0
1426,ghost,10's,rock,0,0,0
1428,"emerson, lake & palmer",70's,rock,0,0,0
1431,death's dynamic shroud.wmv,10's,electronic,0,0,0
1434,おとぼけビ～バ～ [otoboke beaver],10's,rock,0,0,0
1437,alanis morissette,90's,rock,0,0,0
1438,the field,00's,electronic,0,0,0
1439,harold budd / brian enoharold buddbrian eno,80's,electronic,0,0,0
1440,lil nas x,10's,pop,0,0,0
1441,cornelius,90's,rock,0,0,0
1442,silver jews,90's,rock,0,0,0
1445,aerosmith,70's,rock,14,0,150
1447,rosalía,10's,pop,0,0,0
1452,dälek,00's,hip-hop,0,0,0
