popular_ranking,artist_name,release_date,genre
231,pink floyd,1968,rock
232,prince and the revolution,1984,rock
233,eminem,2000,hip-hop
234,the white stripes,2003,rock
235,boards of canada,2002,electronic
236,can,1972,rock
237,new order,1983,rock
238,travis scott,2015,hip-hop
239,modest mouse,2000,rock
240,yes,1971,rock
241,nick drake,1969,folk
242,pavement,1992,rock
243,death grips,2013,hip-hop
244,sonic youth,1990,rock
245,swans,2012,rock
246,bob dylan,1965,rock
247,run the jewels,2014,hip-hop
248,black midi,2019,rock
249,burzum,1996,metal
250,portishead,2008,rock
251,sophie,2018,electronic
252,bob dylan,1963,folk
253,outkast,1998,hip-hop
254,joanna newsom,2006,folk
255,the rolling stones,1971,rock
256,can,1973,rock
257,neil young,1972,rock
258,guns n' roses,1987,rock
259,deftones,2000,metal
260,the strokes,2003,rock
261,wire,1977,rock
262,a tribe called quest,1993,jazz
263,the beatles,1963,rock
265,the doors,1967,rock
266,spiritualized®,1997,rock
267,cocteau twins,1984,pop
268,mgmt,2008,rock
269,the velvet underground,1970,rock
270,the mars volta,2003,rock
271,green day,2004,rock
272,coldplay,2000,rock
273,captain beefheart & his magic band,1969,rock
274,at the drive-in,2000,rock
275,sex pistols,1977,rock
276,sigur rós,2002,rock
277,king crimson,1973,rock
278,r.e.m.,1992,rock
279,my bloody valentine,2013,rock
280,kraftwerk,1978,electronic
281,queen,1975,rock
282,animal collective,2005,rock
283,red hot chili peppers,1999,rock
284,the rolling stones,1969,rock
285,"tyler, the creator",2013,hip-hop
286,the weeknd,2020,soul_funk
287,ac/dc,1980,rock
288,iron maiden,1984,metal
289,the zombies,1968,pop
290,black sabbath,1972,rock
291,lana del rey,2019,pop
292,black sabbath,1973,rock
293,green day,1994,rock
294,lcd soundsystem,2010,rock
295,lorde,2017,pop
296,coldplay,2002,rock
297,joni mitchell,1971,folk
298,dinosaur,1987,rock
299,danny brown,2011,hip-hop
300,the jimi hendrix experience,1967,rock
301,the jesus and mary chain,1985,rock
302,daft punk,1997,electronic
303,iggy and the stooges,1973,rock
304,earl sweatshirt,2015,hip-hop
305,the notorious b.i.g.,1994,hip-hop
306,billie eilish,2019,pop
307,nick drake,1970,folk
308,air,1998,pop
309,red hot chili peppers,1991,rock
310,dead kennedys,1980,rock
311,the smiths,1984,pop
312,genesis,1973,rock
313,arctic monkeys,2007,rock
314,opeth,2001,metal
315,arctic monkeys,2013,rock
316,brian eno,1978,electronic
317,rush,1981,rock
318,animal collective,2004,rock
319,tool,2006,rock
320,the strokes,2020,rock
321,grimes,2015,electronic
322,muse,2001,rock
323,car seat headrest,2016,rock
324,sonic youth,1987,rock
325,travis scott,2018,pop
326,gang of four,1979,rock
327,beck,1996,rock
328,grimes,2012,electronic
329,the rolling stones,1972,rock
330,aphex twin,1994,electronic
331,king crimson,1981,rock
332,brand new,2006,rock
333,beastie boys,1989,hip-hop
334,the doors,1971,rock
335,swans,1983,rock
336,"black country, new road",2022,rock
337,the beatles,1964,rock
338,freddie gibbs & madlib,2019,hip-hop
339,r.e.m.,1983,rock
340,u2,1987,rock
341,talking heads,1978,rock
342,fka twigs,2019,pop
343,phoebe bridgers,2020,folk
344,the smiths,1987,pop
345,death,1995,metal
346,linkin park,2000,rock
347,talking heads,1983,soul_funk
348,godspeed you! black emperor,2002,rock
349,carly rae jepsen,2015,pop
350,outkast,2000,hip-hop
351,beach house,2015,pop
352,van morrison,1968,folk
353,mount eerie,2017,folk
354,mf doom,1999,hip-hop
355,john coltrane,1960,jazz
356,electric wizard,2000,metal
357,converge,2001,metal
358,fleet foxes,2011,folk
359,nine inch nails,1989,rock
360,soundgarden,1994,rock
361,run the jewels,2013,hip-hop
362,playboi carti,2020,hip-hop
363,little simz,2021,hip-hop
364,sufjan stevens,2010,pop
365,funkadelic,1971,rock
366,kero kero bonito,2018,pop
367,panda bear,2007,rock
368,patti smith,1975,rock
369,"tyler, the creator",2015,hip-hop
370,my chemical romance,2006,rock
371,muse,2003,rock
372,ramones,1976,rock
373,david bowie,1980,rock
374,a tribe called quest,2016,jazz
375,outkast,1996,hip-hop
376,vampire weekend,2008,rock
377,fugazi,1990,rock
378,pink floyd,1994,rock
379,the national,2007,rock
380,duster,1998,rock
381,tame impala,2010,rock
382,charli xcx,2019,electronic
384,yo la tengo,1997,rock
385,death grips,2014,hip-hop
386,the clash,1977,rock
387,aphex twin,2001,electronic
388,mac demarco,2014,pop
389,"tyler, the creator",2011,hip-hop
390,the stooges,1969,rock
391,metallica,2003,metal
392,earl sweatshirt,2013,hip-hop
393,violent femmes,1983,rock
394,kyuss,1994,rock
395,kraftwerk,1977,electronic
396,oasis,1994,rock
397,bruce springsteen,1975,rock
398,deerhunter,2010,rock
399,queens of the stone age,2013,rock
400,blur,1994,rock
401,suicide,1977,rock
402,built to spill,1997,rock
403,vince staples,2017,hip-hop
405,kate bush,1982,pop
406,injury reserve,2021,hip-hop
407,modest mouse,2004,rock
408,sigur rós,2005,rock
409,the cure,1980,rock
410,muse,2006,rock
411,neil young,1974,rock
412,avey tare and panda bearavey tarepanda bear,2000,rock
413,against all logic,2018,electronic
414,run the jewels,2020,hip-hop
415,queens of the stone age,2000,rock
416,pink floyd,1969,rock
417,franz ferdinand,2004,rock
418,king gizzard and the lizard wizard,2016,rock
419,iron maiden,1980,metal
420,childish gambino,2016,soul_funk
421,brockhampton,2018,hip-hop
422,the rolling stones,1968,rock
423,the white stripes,2001,rock
424,eminem,1999,hip-hop
425,stevie wonder,1976,soul_funk
426,oneohtrix point never,2011,electronic
427,neutral milk hotel,1996,rock
428,ride,1990,rock
429,neil young with crazy horseneil youngcrazy horse,1969,rock
430,ween,1997,rock
431,beach house,2018,rock
432,kero kero bonito,2016,electronic
433,tool,1993,metal
434,sonic youth,1986,rock
435,jethro tull,1971,rock
436,godspeed you! black emperor,2012,rock
437,eno,1974,rock
438,the antlers,2009,rock
439,david bowie,1970,rock
440,elliott smith,1998,pop
441,bon iver,2011,pop
442,herbie hancock,1973,jazz
443,public enemy,1988,hip-hop
444,stevie wonder,1973,soul_funk
445,idles,2018,rock
446,the kinks,1968,rock
447,the dismemberment plan,1999,rock
448,danny brown,2019,hip-hop
449,slowdive,2017,rock
450,swans,1991,rock
451,denzel curry x kenny beatsdenzel currykenny beats,2020,hip-hop
452,nick cave and the bad seeds,1994,rock
453,bowie,1974,rock
454,the mars volta,2005,rock
455,george harrison,1970,rock
456,deep purple,1972,rock
