artist_name,year,popularity,genre
disturbing tha peace,2002,59,pop
khia,2015,59,pop
tweet,2002,64,pop
kylie minogue,2000,55,pop
nelly,2002,75,pop
gareth gates,2003,53,pop
christina aguilera,2002,68,pop
b2k,2002,49,pop
sugababes,2002,45,pop
dirty vegas,2002,48,electronic
fat joe,2001,73,pop
liberty x,2019,43,pop
no doubt,2001,26,rock
ll cool j,2002,2,pop
red hot chili peppers,2002,80,rock
musiq soulchild,2002,58,pop
sean paul,2002,59,pop
faith evans,2001,53,pop
charli baltimore,2002,47,pop
kylie minogue,2001,55,pop
n.o.r.e.,2002,58,pop
gareth gates,2003,35,pop
diddy,2005,63,pop
big brovaz,2001,45,pop
no doubt,2001,24,rock
ashanti,2002,55,pop
sophie ellis-bextor,2002,62,pop
justin timberlake,2002,62,pop
mary j. blige,2001,32,pop
a1,2001,53,pop
eminem,2002,71,hip-hop
ashanti,2002,61,pop
delta goodrem,2003,54,pop
p!nk,2001,68,pop
alicia keys,2001,52,pop
daniel bedingfield,2002,56,pop
coldplay,2002,79,rock
missy elliott,2002,70,pop
ronan keating,2002,60,rock
big tymers,2002,64,pop
creed,2001,69,rock
ja rule,2001,73,pop
ashanti,2002,70,pop
avril lavigne,2002,75,pop
dj sammy,2002,63,pop
britney spears,2001,58,pop
cam’ron,2002,67,pop
red hot chili peppers,2002,73,rock
elvis presley,2002,60,rock
atomic kitten,2002,65,pop
*nsync,2001,50,pop
robbie williams,2001,64,rock
alanis morissette,2002,57,pop
usher,2001,59,pop
creed,2015,47,rock
the goo goo dolls,2002,56,rock
puddle of mudd,2001,70,rock
ludacris,2001,60,pop
pop,Pop,Pop,pop
default,2001,40,rock
michelle branch,2001,60,pop
daniel bedingfield,2002,58,pop
enrique iglesias,2001,56,pop
puddle of mudd,2001,64,rock
coldplay,2002,72,rock
outkast,2001,51,pop
p!nk,2001,60,pop
50 cent,2003,81,pop
sean paul,2002,74,pop
eminem,2004,77,hip-hop
beyoncé,2003,76,pop
counting crows,2003,50,rock
black eyed peas,2003,68,pop
jennifer lopez,2002,70,pop
black eyed peas,2003,56,pop
t.a.t.u.,2020,39,pop
benny benassi,2003,66,pop
busta rhymes,2002,68,pop
panjabi mc,2003,61,hip-hop
mis-teeq,2004,59,pop
jay-z,2002,71,hip-hop
50 cent,2003,76,pop
jamelia,2003,69,pop
linkin park,2003,72,rock
dmx,2007,70,pop
evanescence,2003,79,metal
sugababes,2003,57,pop
craig david,2002,59,pop
three days grace,2003,72,rock
lil jon & the east side boyz,2002,47,pop
b2k,2003,62,pop
baby bash,2003,73,pop
aaliyah,2002,36,pop
britney spears,2003,59,pop
blue,2004,57,pop
delta goodrem,2003,54,pop
justin timberlake,2002,76,pop
the white stripes,2003,3,rock
youngbloodz,2003,54,pop
beyoncé,2003,63,pop
lil' kim,2019,47,pop
christina aguilera,2002,61,pop
nickelback,2003,68,rock
blue,2003,48,pop
ashanti,2003,50,pop
trapt,2002,72,rock
simply red,2008,58,rock
lumidee,2003,61,pop
girls aloud,2003,58,pop
nelly,2016,52,pop
room 5,2003,57,electronic
fatman scoop,2009,49,hip-hop
limp bizkit,2003,70,metal
sugababes,2003,58,pop
50 cent,2003,57,pop
pharrell williams,2003,67,pop
chingy,2003,69,pop
eminem,2002,71,hip-hop
lil' kim,2003,48,pop
mýa,2003,48,pop
50 cent,2003,72,pop
nelly,2002,61,pop
missy elliott,2002,57,pop
girls aloud,2003,60,pop
ultrabeat,2003,59,pop
christina aguilera,2002,67,pop
frankie j,2003,49,pop
snoop dogg,2005,67,pop
floetry,2002,57,pop
ginuwine,2003,59,pop
electric six,2003,0,rock
rachel stevens,2003,38,pop
ludacris,2003,57,pop
nas,2002,58,hip-hop
3 doors down,2002,67,rock
tyrese,2002,60,pop
justin timberlake,2002,73,pop
westlife,2003,57,pop
no doubt,2003,60,rock
amanda perez,2003,48,pop
jay-z,2002,56,hip-hop
coldplay,2002,79,rock
kelly rowland,2002,54,pop
missy elliott,2002,70,pop
ashanti,2003,65,pop
junior senior,2002,67,pop
audioslave,2002,75,rock
sean paul,2002,61,pop
jaheim,2002,55,pop
jennifer lopez,2002,60,pop
monica,2003,64,pop
dido,2003,44,pop
the roots,2002,63,hip-hop
chingy,2003,61,pop
fabolous,2003,61,pop
kelly clarkson,2003,47,pop
ja rule,2002,61,pop
matchbox twenty,2002,63,rock
outkast,2003,66,pop
fabolous,2003,67,pop
switchfoot,2003,61,rock
daniel bedingfield,2002,58,pop
good charlotte,2002,68,rock
wayne wonder,2003,63,soul
the strokes,2003,74,rock
avril lavigne,2002,70,pop
will young,2003,55,pop
usher,2004,81,pop
maroon 5,2002,77,pop
britney spears,2003,81,pop
outkast,2003,80,pop
hoobastank,2003,79,rock
anastacia,2004,65,pop
daddy yankee,2004,11,latin
black eyed peas,2004,53,pop
o-zone,2004,56,pop
terror squad,2004,67,hip-hop
anastacia,1999,56,pop
gwen stefani,2004,60,pop
ashanti,2004,56,pop
the rasmus,2003,68,metal
houston,2004,59,pop
beyoncé,2003,63,pop
linkin park,2003,81,rock
lloyd banks,2004,61,pop
akon,2004,16,pop
d12,2004,73,rock
jay sean,2004,42,pop
mario winans,2016,66,pop
destiny's child,2004,61,pop
eric prydz,2004,72,pop
ciara,2004,67,pop
kelis,2003,63,pop
ll cool j,2004,56,pop
spiderbait,2004,63,rock
pop,Pop,Pop,pop
britney spears,2004,53,pop
nina sky,2004,67,pop
baby bash,2003,73,pop
petey pablo,2003,56,pop
jay-z,2003,53,hip-hop
juanes,2004,70,pop
avril lavigne,2004,61,pop
robbie williams,2004,33,rock
black eyed peas,2003,49,pop
ying yang twins,2003,61,pop
enrique iglesias,2003,37,pop
kelis,2003,68,pop
linkin park,2003,68,rock
jojo,2005,49,pop
christina milian,2004,45,pop
avant,2003,56,pop
eminem,2004,67,hip-hop
sugababes,2003,58,pop
snoop dogg,2004,39,pop
sean paul,2002,68,pop
the shapeshifters,2004,65,electronic
d12,2004,57,rock
basement jaxx,2003,0,pop
kevin lyttle,2004,67,hip-hop
chingy,2003,61,pop
t.i.,2004,63,pop
pop,Pop,Pop,pop
kylie minogue,2004,47,pop
twista,2004,66,pop
n.e.r.d,2004,57,hip-hop
britney spears,2003,63,pop
u2,2004,64,rock
franz ferdinand,2004,77,rock
j-kwon,2001,59,pop
g-unit,2003,61,pop
lil' flip,2004,42,pop
kanye west,2004,73,hip-hop
evanescence,2003,72,metal
nelly,2004,57,pop
lemar,2004,46,soul
no doubt,2003,60,rock
avril lavigne,2004,58,pop
twista,2004,72,pop
green day,2004,77,rock
kelis,2003,57,pop
scissor sisters,2004,43,rock
alicia keys,2003,55,pop
kanye west,2004,76,hip-hop
special d.,2004,61,pop
ludacris,2003,48,pop
avril lavigne,2004,68,pop
dido,2003,44,pop
pop,Pop,Pop,pop
beyoncé,2003,62,pop
3 doors down,2002,74,rock
kanye west,2004,80,hip-hop
twista,2004,56,pop
katie melua,2003,55,pop
usher,2004,76,pop
lloyd,2004,59,pop
lmc,2004,59,electronic
the streets,2004,58,hip-hop
juvenile,2003,64,pop
