artist_name,genre,year,popularity
guns n' roses,Metal,1991,68
nirvana,Rock,1991,64
crowded house,Pop,1991,69
r.e.m.,Rock,1991,70
simply red,Soul,1991,49
queen,Rock,1991,48
al stewart,Rock,1991,49
prince,Funk,1991,47
genesis,Rock,1991,54
genesis,Rock,1991,39
bonnie raitt,Rock,1991,66
paul young,Rock,1991,55
u2,Rock,1991,63
tina turner,Funk,1991,61
dire straits,Rock,1991,54
rage against the machine,Metal,1992,78
iron maiden,Rock,1992,55
bon jovi,Metal,1992,73
r.e.m.,Rock,1992,74
marillion,Rock,1992,58
eric clapton,Rock,1992,70
whitney houston,Pop,1992,77
r.e.m.,Rock,1992,62
vangelis,Rock,1992,61
alice in chains,Metal,1992,71
the cure,Rock,1992,67
zz top,Rock,1992,53
r.e.m.,Rock,1992,67
zz top,Rock,1992,44
4 non blondes,Pop,1992,78
marillion,Rock,1992,51
stone temple pilots,Metal,1992,61
barry ryan,Pop,1992,45
neil young,Rock,1992,71
r.e.m.,Rock,1992,62
the black crowes,Rock,1992,56
otis redding,Soul,1992,49
house of pain,Hip-Hop,1992,74
bruce springsteen,Rock,1992,58
paul de leeuw,Dutch Cabaret,1992,40
bon jovi,Metal,1992,59
the prodigy,Electronic,1992,48
r.e.m.,Rock,1992,58
whitney houston,Pop,1992,73
vitesse,Pop,1992,39
alice in chains,Metal,1992,68
annie lennox,Pop,1992,64
snap!,Soul,1992,57
bon jovi,Metal,1992,58
blind melon,Metal,1992,73
radiohead,Rock,1993,82
tina turner,Funk,1993,66
sting,Rock,1993,69
abba,Pop,1993,41
the cranberries,Rock,1993,75
het goede doel,Pop,1993,38
meat loaf,Rock,1993,59
sting,Rock,1993,72
gloria gaynor,Funk,1993,60
duran duran,Rock,1993,72
the smashing pumpkins,Metal,1993,62
counting crows,Rock,1993,76
nirvana,Rock,1993,74
pearl jam,Rock,1993,68
iron butterfly,Rock,1993,57
valensia,Rock,1993,39
wings,Rock,1993,56
eros ramazzotti,Pop,1993,48
lenny kravitz,Rock,1993,72
tina turner,Funk,1993,69
pearl jam,Rock,1993,58
laura pausini,Pop,1993,57
joe cocker,Rock,1993,54
nirvana,Rock,1993,64
counting crows,Rock,1993,61
the jackson 5,Adult Standards,1993,65
the fatal flowers,Rock,1993,42
nirvana,Rock,1993,67
the cranberries,Rock,1994,80
jeff buckley,Rock,1994,73
the amazing stroopwafels,Rock,1994,45
live,Metal,1994,64
soundgarden,Metal,1994,76
nirvana,Rock,1994,73
green day,Rock,1994,79
nirvana,Rock,1994,68
pink floyd,Rock,1994,59
seal,Soul,1994,72
bon jovi,Metal,1994,76
mariah carey,Pop,1994,95
live,Metal,1994,62
beastie boys,Rock,1994,71
sade,Soul,1994,66
portishead,Pop,1994,67
marco borsato,Dutch Cabaret,1994,56
the cranberries,Rock,1994,69
the prodigy,Electronic,1994,56
green day,Rock,1994,75
oasis,Rock,1994,55
crash test dummies,Rock,1994,57
hans de booij,Dutch Cabaret,1994,45
nirvana,Rock,1994,57
jeff buckley,Rock,1994,59
van dik hout,Dutch Cabaret,1995,58
oasis,Rock,1995,71
oasis,Rock,1995,63
bruce springsteen,Rock,1995,70
michael jackson,Pop,1995,63
radiohead,Rock,1995,62
michael jackson,Pop,1995,64
bløf,Pop,1995,47
michael jackson,Pop,1995,60
marco borsato,Dutch Cabaret,1995,52
andrea bocelli,Adult Standards,1995,64
elton john,Rock,1995,54
michael jackson,Pop,1995,69
oasis,Rock,1995,63
paul weller,Rock,1995,58
fools garden,Rock,1995,73
skunk anansie,Rock,1995,24
marco borsato,Dutch Cabaret,1995,60
coolio,Funk,1995,80
andrea bocelli,Adult Standards,1995,66
no doubt,Rock,1995,67
queen,Rock,1995,49
radiohead,Rock,1995,70
queen,Rock,1995,49
the smashing pumpkins,Metal,1995,74
roxy music,Rock,1995,46
queen,Rock,1995,45
elton john,Rock,1995,58
2pac,Funk,1995,72
therapy?,Metal,1995,44
michael jackson,Pop,1995,58
elvis presley,Adult Standards,1995,31
bruce springsteen,Rock,1995,61
the smashing pumpkins,Metal,1995,68
the smashing pumpkins,Metal,1995,71
queen,Rock,1995,29
prince,Funk,1995,46
radiohead,Rock,1995,72
simply red,Soul,1995,56
boudewijn de groot,Rock,1996,40
charles aznavour,Chanson,1996,60
faithless,Electronic,1996,55
george michael,Rock,1996,62
men at work,Rock,1996,74
van halen,Rock,1996,57
guus meeuwis,Pop,1996,58
nick cave & the bad seeds,Rock,1996,59
neil diamond,Adult Standards,1996,57
charles aznavour,Chanson,1996,53
marco borsato,Dutch Cabaret,1996,50
marco borsato,Dutch Cabaret,1996,55
spice girls,Pop,1996,80
skunk anansie,Rock,1996,32
fugees,Hip-Hop,1996,74
george michael,Rock,1996,53
robert miles,Electronic,1996,67
blackstreet,Pop,1996,76
patrick bruel,Chanson,1996,35
amanda marshall,Pop,1996,37
chaka khan,Pop,1996,70
counting crows,Rock,1996,63
eels,Rock,1996,54
guus meeuwis,Pop,1996,49
the verve,Rock,1997,78
frank boeijen,Dutch Cabaret,1997,48
rammstein,Metal,1997,67
john denver,Adult Standards,1997,77
radiohead,Rock,1997,74
foo fighters,Metal,1997,77
skik,Rock,1997,46
radiohead,Rock,1997,67
acda en de munnik,Dutch Cabaret,1997,49
nick cave & the bad seeds,Rock,1997,65
rammstein,Metal,1997,60
paul de leeuw,Dutch Cabaret,1997,54
buena vista social club,Jazz,1997,68
the prodigy,Electronic,1997,64
metallica,Metal,1997,55
the prodigy,Electronic,1997,65
gerry & the pacemakers,Adult Standards,1997,55
green day,Rock,1997,75
elton john,Rock,1997,53
radiohead,Rock,1997,71
acda en de munnik,Dutch Cabaret,1997,42
george baker selection,Pop,1997,44
midnight oil,Rock,1997,63
céline dion,Pop,1997,75
guus meeuwis,Pop,1997,50
the prodigy,Electronic,1997,66
metallica,Metal,1997,51
joe cocker,Rock,1997,35
barbra streisand,Adult Standards,1997,47
acda en de munnik,Dutch Cabaret,1997,42
the police,Rock,1997,45
eva cassidy,Adult Standards,1997,61
frank boeijen groep,Dutch Cabaret,1997,31
the verve,Rock,1997,64
daft punk,Electronic,1997,70
george michael,Rock,1998,57
anouk,Rock,1998,33
de dijk,Rock,1998,50
george michael,Rock,1998,76
metallica,Metal,1998,61
george michael,Rock,1998,66
the waterboys,Rock,1998,59
bløf,Pop,1998,51
liquido,Rock,1998,42
u2,Rock,1998,58
george michael,Rock,1998,43
henk westbroek,Rock,1998,49
hero,Pop,1998,47
aerosmith,Rock,1998,76
eva cassidy,Adult Standards,1998,62
george michael,Rock,1998,58
massive attack,Electronic,1998,69
george michael,Rock,1998,46
george michael,Rock,1998,51
acda en de munnik,Dutch Cabaret,1998,54
stef bos,Christelijk,1998,39
marco borsato,Dutch Cabaret,1998,50
korn,Metal,1998,73
de dijk,Rock,1998,35
les poppys,Rock,1998,50
ilse delange,Dutch Americana,1998,40
george michael,Rock,1998,51
george michael,Rock,1998,63
manic street preachers,Rock,1998,37
george michael,Rock,1998,45
herman van veen,Pop,1998,39
duran duran,Rock,1998,50
ilse delange,Dutch Americana,1998,40
george michael,Rock,1998,61
placebo,Rock,1998,60
robbie williams,Pop,1998,68
stef bos,Christelijk,1998,44
the offspring,Metal,1998,72
george michael,Rock,1998,53
fatboy slim,Electronic,1998,44
anouk,Rock,1998,11
herman van veen,Pop,1998,44
george michael,Rock,1998,56
mecano,Latin,1998,62
acda en de munnik,Dutch Cabaret,1998,37
robbie williams,Pop,1999,50
eric clapton,Rock,1999,61
red hot chili peppers,Rock,1999,81
bløf,Pop,1999,57
foo fighters,Metal,1999,74
bonnie tyler,Pop,1999,75
red hot chili peppers,Rock,1999,77
red hot chili peppers,Rock,1999,78
phil collins,Rock,1999,62
robbie williams,Pop,1999,44
red hot chili peppers,Rock,1999,62
genesis,Rock,1999,18
venice,Rock,1999,41
moby,Electronic,1999,54
muse,Rock,1999,61
beth hart,Rock,1999,41
live,Metal,1999,56
smash mouth,Rock,1999,80
moby,Electronic,1999,45
zucchero,Pop,1999,24
dr. dre,Funk,1999,70
karin bloemen,Dutch Cabaret,1999,38
blink-182,Rock,1999,79
live,Metal,1999,48
de kast,Pop,1999,44
santana,Rock,1999,70
eminem,Hip-Hop,1999,72
sting,Rock,1999,52
the chemical brothers,Alternative Dance,1999,65
etta james,Adult Standards,1960,74
elvis presley,Adult Standards,1961,78
frank sinatra,Adult Standards,1962,77
ben e. king,Adult Standards,1962,77
roy orbison,Adult Standards,1962,73
johnny cash,Country,1963,71
bob dylan,Rock,1963,69
roy orbison,Adult Standards,1963,57
the beatles,British Invasion,1963,74
elvis presley,Adult Standards,1963,59
the beatles,British Invasion,1963,71
bob dylan,Rock,1963,65
simon & garfunkel,Rock,1964,75
the animals,Rock,1964,69
johnny cash,Country,1964,58
bob dylan,Rock,1964,69
sam cooke,Adult Standards,1964,66
the beatles,British Invasion,1964,69
gilbert bécaud,Chanson,1964,53
the beatles,British Invasion,1964,66
the rolling stones,Rock,1964,46
the beatles,British Invasion,1965,78
the rolling stones,Rock,1965,77
bob dylan,Rock,1965,71
the beatles,British Invasion,1965,69
the beatles,British Invasion,1965,73
the righteous brothers,Adult Standards,1965,70
the beatles,British Invasion,1965,67
nina simone,Adult Standards,1965,74
the who,Rock,1965,71
the beatles,British Invasion,1965,74
the rolling stones,Rock,1965,53
frank sinatra,Adult Standards,1965,62
the rolling stones,Rock,1965,53
the rolling stones,Rock,1965,47
the byrds,Rock,1965,62
the rolling stones,Rock,1966,78
the beach boys,Pop,1966,72
the mamas & the papas,Adult Standards,1966,76
the beatles,British Invasion,1966,71
ike & tina turner,Pop,1966,57
frank sinatra,Adult Standards,1966,75
the rolling stones,Rock,1966,65
simon & garfunkel,Rock,1966,63
the beach boys,Pop,1966,61
simon & garfunkel,Rock,1966,65
the rolling stones,Rock,1966,64
bob dylan,Rock,1966,58
percy sledge,Soul,1966,66
the kinks,Rock,1966,67
tim hardin,Pop,1966,48
the mamas & the papas,Adult Standards,1966,62
the beatles,British Invasion,1966,63
james brown & the famous flames,Soul,1966,63
otis redding,Soul,1966,64
the beach boys,Pop,1966,72
the moody blues,Rock,1967,68
the doors,Rock,1967,61
the beatles,British Invasion,1967,67
van morrison,Rock,1967,79
aretha franklin,Adult Standards,1967,73
jefferson airplane,Rock,1967,69
the beatles,British Invasion,1967,45
leonard cohen,Folk,1967,66
jimi hendrix,Rock,1967,71
the beach boys,Pop,1967,71
the doors,Rock,1967,72
the beatles,British Invasion,1967,70
leonard cohen,Folk,1967,62
jimi hendrix,Rock,1967,69
the beatles,British Invasion,1967,58
the doors,Rock,1967,70
jimi hendrix,Rock,1967,63
the beatles,British Invasion,1967,65
the beatles,British Invasion,1967,69
jimi hendrix,Rock,1967,72
the rolling stones,Rock,1967,63
the beatles,British Invasion,1967,68
the hollies,Adult Standards,1967,50
the beatles,British Invasion,1967,65
cuby & the blizzards,Rock,1967,37
the beatles,British Invasion,1967,65
elvis presley,Adult Standards,1967,41
marvin gaye,Soul,1967,80
scott mckenzie,Pop,1967,53
the beatles,British Invasion,1967,63
the monkees,Pop,1967,73
the kinks,Rock,1967,66
cream,Rock,1967,74
the doors,Rock,1967,72
jefferson airplane,Rock,1967,69
tom jones,Adult Standards,1967,62
bee gees,Adult Standards,1967,66
liesbeth list,Rock,1968,45
otis redding,Soul,1968,73
the beatles,British Invasion,1968,74
creedence clearwater revival,Rock,1968,60
the beatles,British Invasion,1968,70
jimi hendrix,Rock,1968,77
cuby & the blizzards,Rock,1968,43
aretha franklin,Adult Standards,1968,75
aretha franklin,Adult Standards,1968,69
cream,Rock,1968,74
simon & garfunkel,Rock,1968,76
louis armstrong,Adult Standards,1968,68
the cats,Pop,1968,48
the band,Rock,1968,72
nina simone,Adult Standards,1968,48
jimi hendrix,Rock,1968,67
creedence clearwater revival,Rock,1968,56
steppenwolf,Rock,1968,67
bee gees,Adult Standards,1968,59
bee gees,Adult Standards,1968,57
the cats,Pop,1968,43
bee gees,Adult Standards,1968,66
richard harris,Pop,1968,36
etta james,Adult Standards,1968,67
the monkees,Pop,1968,69
the beatles,British Invasion,1968,66
neil diamond,Adult Standards,1968,59
the beatles,British Invasion,1969,82
david bowie,Rock,1969,73
the rolling stones,Rock,1969,76
elvis presley,Adult Standards,1969,72
led zeppelin,Rock,1969,76
neil diamond,Adult Standards,1969,78
creedence clearwater revival,Rock,1969,80
elvis presley,Adult Standards,1969,63
creedence clearwater revival,Rock,1969,77
the rolling stones,Rock,1969,67
joe cocker,Rock,1969,69
frank sinatra,Adult Standards,1969,73
the beatles,British Invasion,1969,79
the beatles,British Invasion,1969,72
fleetwood mac,Rock,1969,50
golden earring,Rock,1969,42
shocking blue,Rock,1969,59
dusty springfield,Adult Standards,1969,61
the who,Rock,1969,69
the cats,Pop,1969,46
creedence clearwater revival,Rock,1969,60
melanie,Pop,1969,44
fleetwood mac,Rock,1969,41
creedence clearwater revival,Rock,1969,59
the cats,Pop,1969,44
b.b. king,Blues,1969,60
led zeppelin,Rock,1969,63
the who,Rock,1969,43
ralph mctell,Folk,1969,57
creedence clearwater revival,Rock,1969,73
cuby & the blizzards,Rock,1969,34
roberta flack,Adult Standards,1969,64
the doors,Rock,1969,68
brainbox,Rock,1969,36
the rolling stones,Rock,1969,50
rare earth,Rock,1969,45
fleetwood mac,Rock,1969,48
"crosby, stills & nash",Rock,1969,67
elvis presley,Adult Standards,1956,62
elvis presley,Adult Standards,1958,73
nina simone,Adult Standards,1958,68
louis armstrong,Adult Standards,1958,66
elvis presley,Adult Standards,1958,63
elvis presley,Adult Standards,1958,69
chuck berry,Rock,1959,74
the dave brubeck quartet,Bebop,1959,65
fats domino,Adult Standards,1959,56
